
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
up.tz.46,(GMT+05:00) Islamabad, Karachi, Tashkent
#From: up.tz.47,(GMT+05:30) Calcutta, Chennai, Mumbai, New Delhi
up.tz.47,(GMT+05:30) Calcuta, Chennai, Bombay, Nueva Delhi
#From: up.tz.48,(GMT+05:45) Kathmandu
up.tz.48,(GMT+05:45) Katmandú
#From: up.tz.49,(GMT+06:00) Almaty, Novosibirsk
up.tz.49,(GMT+06:00) Almaty, Novosibirsk
#From: up.tz.50,(GMT+06:00) Astana, Dhaka
up.tz.50,(GMT+06:00) Astana, Dacca
#From: up.tz.51,(GMT+06:00) Sri Jayawardenepura
up.tz.51,(GMT+06:00) Sri Jayawardenepura
#From: up.tz.52,(GMT+06:30) Rangoon
up.tz.52,(GMT+06:30) Rangún
#From: up.tz.53,(GMT+07:00) Bangkok, Hanoi, Jakarta
up.tz.53,(GMT+07:00) Bangkok, Hanoi, Yakarta
#From: up.tz.54,(GMT+07:00) Krasnoyarsk
up.tz.54,(GMT+07:00) Krasnoyarsk
#From: up.tz.55,(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi
up.tz.55,(GMT+08:00) Pekín, Chongqing, Hong Kong, Urumqi
#From: up.tz.56,(GMT+08:00) Irkutsk, Ulaan Bataar
up.tz.56,(GMT+08:00) Irkutsk, Ulan Bator
#From: up.tz.57,(GMT+08:00) Kuala Lumpur, Singapore
up.tz.57,(GMT+08:00) Kuala Lumpur, Singapur
#From: up.tz.58,(GMT+08:00) Perth
up.tz.58,(GMT+08:00) Perth
#From: up.tz.59,(GMT+08:00) Taipei
up.tz.59,(GMT+08:00) Taipei
#From: up.tz.60,(GMT+09:00) Osaka, Sapporo, Tokyo
up.tz.60,(GMT+09:00) Osaka, Sapporo, Tokyo
#From: up.tz.61,(GMT+09:00) Seoul
up.tz.61,(GMT+09:00) Seúl
#From: up.tz.62,(GMT+09:00) Yakutsk
up.tz.62,(GMT+09:00) Yakutsk
#From: up.tz.63,(GMT+09:30) Adelaide
up.tz.63,(GMT+09:30) Adelaida
#From: up.tz.64,(GMT+09:30) Darwin
up.tz.64,(GMT+09:30) Darwin
#From: up.tz.65,(GMT+10:00) Brisbane
up.tz.65,(GMT+10:00) Brisbane
#From: up.tz.66,(GMT+10:00) Canberra, Melbourne, Sydney
up.tz.66,(GMT+10:00) Camberra, Melburne, Sydney
#From: up.tz.67,(GMT+10:00) Guam, Port Moresby
up.tz.67,(GMT+10:00) Guam, Port Moresby
#From: up.tz.68,(GMT+10:00) Hobart
up.tz.68,(GMT+10:00) Hobart
#From: up.tz.69,(GMT+10:00) Vladivostok
up.tz.69,(GMT+10:00) Vladivostok
#From: up.tz.70,(GMT+11:00) Magadan, Solomon Is., New Caledonia
up.tz.70,(GMT+11:00) Magadán, Islas Salomón, Nueva Caledonia
#From: up.tz.71,(GMT+12:00) Auckland, Wellington
up.tz.71,(GMT+12:00) Aukland, Wellington
#From: up.tz.72,(GMT+12:00) Fiji, Kamchatka, Marshall Is.
up.tz.72,(GMT+12:00) Fidji, Kamchatka, Islas Marshall
#From: up.he.1,"An error occurred on this page. This might be because you are\n"+ "not properly logged in, for example just after a reboot.\n"
up.he.1,"Se ha producido un error en esta página. La causa podría ser que\n"+ "no se ha iniciado la sesión correctamente, por ejemplo, justo después de reiniciar.\n"
#From: up.he.2,"Press OK to go to the login page, or Cancel if you want to see\n"+ "the error message."
up.he.2,"Pulse Aceptar para ir a la página de inicio de sesión, o Cancelar si desea ver\n"+ "el mensaje de error."
#From: up.he.5,"The error on line "+line+" of "+url+" is:\n\""+msg+"\"."
up.he.5,"El error en la línea "+line+" de "+url+" es:\n\""+msg+"\"."
#From: up.jt.1,There is unsaved data on this page. Do you want to abandon it?
up.jt.1,Hay datos sin guardar en esta página. ¿Desea renunciar a ellos?
#From: up.jt.2,If not, press Cancel and then click Save Settings.
up.jt.2, De lo contrario, haga clic en Cancelar y en clic Guardar parámetros.
#From: up.jt.3,If so, press Ok.
up.jt.3,Si desea renunciar, pulse Aceptar.
#From: help399,Access Control List
help399,Lista de control de acceso
#From: help400,ACL. This is a database of network devices that are allowed to access resources on the network.
help400,ACL. Es una base de datos de los dispositivos de red que tienen permiso para acceder a los recursos de la red.
#From: help401,Access Point
help401,Punto de acceso
#From: help402,AP. Device that allows wireless clients to connect to it and access the network
help402,AP. Dispositivo que permite a los clientes inalámbricos conectarse a él mismo y acceder a la red.
#From: help403,ActiveX
help403,ActiveX
#From: help404,A Microsoft specification for the interaction of software components.
help404,Una especificación de Microsoft para la interacción de los componentes de software.
#From: help405,Ad-hoc network
help405,Red Ad-hoc
#From: help406,Peer-to-Peer network between wireless clients
help406,Red peer-to-peer (igual a igual) entre clientes inalámbricos
#From: help407,Address Resolution Protocol
help407,Protocolo de resolución de direcciones
#From: help408, ARP. Used to map MAC addresses to IP addresses so that conversions can be made in both directions.
help408, ARP. Usado para relacionar direcciones MAC a direcciones IP de modo que las conversiones puedan hacerse en ambas direcciones.
#From: help409,ADSL
help409,ADSL
#From: help410,Asymmetric Digital Subscriber Line
help410,Línea de abonado digital asimétrica
#From: help411,Advanced Encryption Standard
help411,Norma de cifrado avanzado
#From: help412,AES. Government encryption standard
help412,AES. Norma de cifrado gubernamental
#From: help413,Alphanumeric
help413,Alfanumérico
#From: help414,Characters A-Z and 0-9
help414,Caracteres A-Z y 0-9
#From: help415,Antenna
help415,Antena
#From: help416,Used to transmit and receive RF signals.
help416,Utilizada para transmitir y recibir señales RF.
#From: help417,AppleTalk
help417,AppleTalk
#From: help418,A set of Local Area Network protocols developed by Apple for their computer systems
help418,Un conjunto de protocolos de red de área local desarrollados por Apple para sus sistemas informáticos
#From: help419,AppleTalk Address Resolution Protocol
help419,Protocolo de resolución de direcciones AppleTalk
#From: help420,AARP. Used to map the MAC addresses of Apple computers to their AppleTalk network addresses, so that conversions can be made in both directions.
help420,AARP. Utilizado para asignar direcciones MAC de equipos Apple a sus direcciones de red AppleTalk para que se puedan realizar las conversiones en ambas direcciones.
#From: help421,Application layer
help421,Capa de aplicación
#From: help422,7th Layer of the OSI model. Provides services to applications to ensure that they can communicate properly with other applications on a network.
help422,7ª capa del modelo OSI. Proporciona servicios a las aplicaciones para garantizar que pueden comunicarse correctamente con otras aplicaciones en una red.
#From: help423,ASCII
help423,ASCII
#From: help424,American Standard Code for Information Interchange. This system of characters is most commonly used for text files
help424,Código estándar americano para el intercambio de información. Este sistema de caracteres se utiliza con frecuencia para archivos de texto.
#From: help425,Attenuation
help425,Atenuación
#From: help426,The loss in strength of digital and analog signals. The loss is greater when the signal is being transmitted over long distances.
help426,La pérdida de intensidad de las señales digitales y analógicas. La pérdida es mayor cuando la señal se transmite a distancias largas.
#From: .auth,Authentication
.auth,Autenticación
#From: help427,To provide credentials, like a Password, in order to verify that the person or device is really who they are claiming to be
help427,Para suministrar credenciales, como una contraseña, para verificar que la persona o el dispositivo son quiénes dicen ser
#From: help428,Automatic Private IP Addressing
help428,Direccionamiento IP privado automático
#From: help429,APIPA. An IP address that that a Windows computer will assign itself when it is configured to obtain an IP address automatically but no DHCP server is available on the network
help429,APIPA. Una dirección IP que un ordenador Windows se asignará a sí mismo cuando esté configurado para obtener automáticamente una dirección IP pero en la red no exista un servidor DHCP disponible
#From: help430,Backward Compatible
help430,Compatible con versiones anteriores
#From: help431,The ability for new devices to communicate and interact with older legacy devices to guarantee interoperability
help431,La habilidad de los nuevos dispositivos para comunicarse e interactuar con otros dispositivos antiguos heredados con el fin de garantizar la interoperabilidad
#From: help432,Bandwidth
help432,Ancho de banda
#From: help433,The maximum amount of bytes or bits per second that can be transmitted to and from a network device
help433,La cantidad máxima de bytes o bits por segundo que se pueden transmitir a y desde un dispositivo de red
#From: help434,Basic Input/Output System
help434,Sistema de entrada y salida básico
#From: help435,BIOS. A program that the processor of a computer uses to startup the system once it is turned on
help435,BIOS. Un programa que utiliza el procesador de un ordenador para iniciar el sistema cuando se enciende
#From: help436,Baud
help436,Baudio
#From: help437,Data transmission speed
help437,Velocidad de transmisión de datos
#From: help438,Beacon
help438,Emisión de señales (beacon)
#From: help439,A data frame by which one of the stations in a Wi-Fi network periodically broadcasts network control data to other wireless stations.
help439,Trama de datos emitida periódicamente por una de las estaciones de una red Wi-Fi  para difundir datos de control de red a otras estaciones inalámbricas.
#From: help440,Bit rate
help440,Velocidad de bits
#From: help441,The amount of bits that pass in given amount of time
help441,La cantidad de bits que pasan en una cantidad determinada de tiempo
#From: help442,Bit/sec
help442,Bit/seg
#From: help443,Bits per second
help443,Bits por segundo
#From: help444,BOOTP
help444,BOOTP
#From: help445,Bootstrap Protocol. Allows for computers to be booted up and given an IP address with no user intervention
help445,Protocolo Bootstrap. Permite que los ordenadores se inicien y se les a asigne una dirección IP sin intervención del usuario
#From: help446,Bottleneck
help446,Cuello de botella
#From: help447,A time during processes when something causes the process to slowdown or stop all together
help447,Un período durante los procesos en el que algo hace que el proceso se ralentice o se detenga totalmente.
#From: help448,Broadband
help448,Banda ancha
#From: help449,A wide band of frequencies available for transmitting data
help449,Una banda ancha de frecuencias disponible para transmitir datos
#From: help450,Broadcast
help450,Difusión
#From: help451,Transmitting data in all directions at once
help451,Transmisión simultánea de datos en todas direcciones
#From: help452,Browser
help452,Explorador
#From: help453,A program that allows you to access resources on the web and provides them to you graphically
help453,Un programa que le permite acceder a los recursos de la Web y los suministra gráficamente
#From: help454,Cable modem
help454,Módem de cable
#From: help455,A device that allows you to connect a computer up to a coaxial cable and receive Internet access from your Cable provider
help455,Un dispositivo que le permite conectar un ordenador a un cable coaxial y recibir acceso a Internet desde su proveedor de cable.
#From: help456,CardBus
help456,CardBus
#From: help457,A newer version of the PC Card or PCMCIA interface. It supports a 32-bit data path, DMA, and consumes less voltage
help457,Un versión más reciente de la tarjeta PC Card o interfaz PCMCIA. Admite una ruta de datos de 32-bits, DMA, y consume menos tensión
#From: help458,CAT 5
help458,CAT 5
#From: help459,Category 5. Used for 10/100 Mbps or 1Gbps Ethernet connections
help459,Categoría 5. Utilizada para conexiones Ethernet de 10/100 Mbps ó 1Gbps
#From: help460,Client
help460,Cliente
#From: help461,A program or user that requests data from a server
help461,Un programa o usuario que solicita datos de un servidor
#From: help462,Collision
help462,Colisión
#From: help463,When do two devices on the same Ethernet network try and transmit data at the exact same time.
help463,Cuando dos dispositivos de la misma red Ethernet intentan y transmiten datos exactamente al mismo tiempo.
#From: help464,Cookie
help464,Cookie
#From: help465,Information that is stored on the hard drive of your computer that holds your preferences to the site that gave your computer the cookie
help465,Información que se almacena en el disco duro de su ordenador que conserva preferencias para el sitio que proporcionó la cookie al ordenador
#From: help466,Data
help466,Datos
#From: help467,Information that has been translated into binary so that it can be processed or moved to another device
help467,Información transformada a binaria para que se pueda procesar o mover a otro dispositivo
#From: help468,Data Encryption Standard
help468,Norma de cifrado de datos
#From: help469,Uses a randomly selected 56-bit key that must be known by both the sender and the receiver when information is exchanged
help469,Utiliza una clave de 56 bits seleccionada aleatoriamente que deben conocer el remitente y el receptor cuando se intercambian información
#From: help470,Data-Link layer
help470,Capa de Enlace de datos
#From: help471,The second layer of the OSI model. Controls the movement of data on the physical link of a network
help471,La segunda capa del modelo OSI. Controla el movimiento de datos en el enlace físico de una red
#From: help472,Database
help472,Base de datos
#From: help473,Organizes information so that it can be managed updated, as well as easily accessed by users or applications.
help473,Organiza información para que pueda ser administrada, actualizada y además puedan acceder a ella fácilmente los usuarios y aplicaciones.
#From: help474,DB-25
help474,DB-25
#From: help475,A 25 ping male connector for attaching External modems or RS-232 serial devices
help475,Un conector macho de 25 pines para conectar módems externos o dispositivos serie RS-232
#From: help476,DB-9
help476,DB-9
#From: help477, A 9 pin connector for RS-232 connections
help477, Un conector de 9 pins para conexiones de RS-232
#From: help478,dBd
help478,dBd
#From: help479,Decibels related to dipole antenna
help479,Decibelios asociados a la antena dipolo
#From: help480,dBi
help480,dBi
#From: help481,Decibels relative to isotropic radiator
help481,Decibelios asociados al radiador isotrópico
#From: help482,dBm
help482,dBm
#From: help483,Decibels relative to one milliwatt
help483,Decibelios relativos a un milivatio
#From: help484,Decrypt
help484,Descifrar
#From: help485,To unscramble an encrypted message back into plain text
help485,Convertir un mensaje cifrado en texto sencillo
#From: help486,Default
help486,Valor predeterminado
#From: help487,A predetermined value or setting that is used by a program when no user input has been entered for this value or setting
help487,Un valor u opción predeterminados que utiliza un programa cuando el usuario no especifica ningún dato para este valor o configuración
#From: help488,Demilitarized zone
help488,Zona desmilitarizada
#From: help489,DMZ: A single computer or group of computers that can be accessed by both users on the Internet as well as users on the Local Network, but that is not protected by the same security as the Local Network.
help489,DMZ: un ordenador o grupo de ordenadores al que pueden acceder los usuarios de Internet y los usuarios de la red local, pero que no está protegido con la misma seguridad que la red local.
#From: .DHCP,DHCP
.DHCP,DHCP
#From: help490,Dynamic Host Configuration Protocol: Used to automatically assign IP addresses from a predefined pool of addresses to computers or devices that request them
help490,Protocolo de configuración dinámica de host: utilizado para asignar automáticamente direcciones IP desde un conjunto predefinido de direcciones a ordenadores o dispositivos que las solicitan
#From: help491,Digital certificate:
help491,Certificado digital:
#From: help492,An electronic method of providing credentials to a server in order to have access to it or a network
help492,Un método electrónico para proporcionar credenciales a un servidor para tener acceso al mismo o a una red
#From: help493,Direct Sequence Spread Spectrum
help493,Espectro ensanchado de secuencia directa
#From: help494,DSSS: Modulation technique used by 802.11b wireless devices
help494,DSSS: técnica de modulación utilizada por dispositivos inalámbricos 802.11b
#From: help495,DMZ
help495,DMZ
#From: help496,"Demilitarized Zone". A computer that logically sits in a "no-mans land" between the LAN and the WAN. The DMZ computer trades some of the protection of the router's security mechanisms for the convenience of being directly addressable from the Internet.
help496,?�Zona desmilitarizada?? Un ordenador ubicado lógicamente en "tierra de nadie" entre la LAN y la WAN. El equipo DMZ pierde parte de la protección proporcionada por los mecanismos de seguridad del enrutador por la comodidad de ser direccionable directamente desde Internet.
#From: help498, Domain Name System: Translates Domain Names to IP addresses
help498, DNS (Domain Name System): Sistema que traduce nombres de dominio a direcciones IP.
#From: help499,Domain name
help499,Nombre de dominio
#From: help500,A name that is associated with an IP address
help500,Un nombre que va asociado con una dirección IP
#From: help501,Download
help501,Descargar
#From: help502,To send a request from one computer to another and have the file transmitted back to the requesting computer
help502,Enviar una solicitud de un ordenador a otro para que el segundo le transmita un archivo al ordenador solicitante
#From: help503,DSL
help503,DSL
#From: help504,Digital Subscriber Line. High bandwidth Internet connection over telephone lines
help504,Línea de abonado digital Conexión a Internet de elevado ancho de banda a través de las líneas telefónicas
#From: help505,Duplex
help505,Dúplex
#From: help506,Sending and Receiving data transmissions at the sane time
help506,Trnamisiones en las que se envían y reciben datos al mismo tiempo
#From: help507,Dynamic DNS service
help507,Servicio DNS dinámico
#From: help508,Dynamic DNS is provided by companies to allow users with Dynamic IP addresses to obtain a Domain Name that will always by linked to their changing IP address. The IP address is updated by either client software running on a computer or by a router that supports Dynamic DNS, whenever the IP address changes
help508,El DNS dinámico lo proporcionan las compañías que permiten a usuarios con direcciones IP dinámicas obtener un nombre de dominio que siempre va a estar vinculado a su dirección IP cambiante. La dirección IP es actualizada por un programa cliente que se ejecuta en un ordenador o por un enrutador que admite DNS dinámico, siempre que cambie la dirección IP
#From: help509,Dynamic IP address
help509,Dirección IP dinámica
#From: help510,IP address that is assigned by a DHCP server and that may change. Cable Internet providers usually use this method to assign IP addresses to their customers.
help510,Dirección IP que ha sido asignada por un servidor DHCP y que puede cambiar. Los proveedores de Internet por cable utilizan normalmente este método para asignar direcciones IP a sus clientes.
#From: help511,EAP
help511,EAP
#From: help512,Extensible Authentication Protocol
help512,Protocolo de autenticación extensible
#From: help513,Email
help513,Correo electrónico
#From: help514,Electronic Mail is a computer-stored message that is transmitted over the Internet
help514,El correo electrónico es un mensaje almacenado en el ordenador que se transmite a través de Internet
#From: help515,Converting data into cyphertext so that it cannot be easily read
help515,Conversión de los datos en texto cifrado para que no se pueda leer fácilmente
#From: help516,Ethernet
help516,Ethernet
#From: help517,The most widely used technology for Local Area Networks.
help517,La tecnología utilizada mayoritariamente en las redes de área local.
#From: help518,Fiber optic
help518,Fibra óptica
#From: help519,A way of sending data through light impulses over glass or plastic wire or fiber
help519,Un modo de enviar datos por medio de impulsos luminosos a través de cable o fibra de vidrio o plástico
#From: help520,File server
help520,Servidor de archivos
#From: help521,A computer on a network that stores data so that the other computers on the network can all access it
help521,Un ordenador de una red que almacena datos para que los demás equipos de la red puedan acceder a ellos
#From: help522,File sharing
help522,Compartir archivos
#From: help523,Allowing data from computers on a network to be accessed by other computers on the network with different levels of access rights
help523,Permitir el acceso a los datos almacenados en los ordenadores de una red por parte de otros ordenadores de la red con diferentes niveles de derechos de acceso
#From: help524,A device that protects resources of the Local Area Network from unauthorized users outside of the local network
help524,Un dispositivo que protege los recursos de una red de área local de usuarios no autorizados fuera de la red local
#From: help525,Programming that is inserted into a hardware device that tells it how to function
help525,Programa que se inserta en un dispositivo hardware que le indica cómo funcionar
#From: help526,Fragmentation
help526,Fragmentación
#From: help527,Breaking up data into smaller pieces to make it easier to store
help527,Descomponer los datos en trozos más pequeños para que su almacenamiento resulte más sencillo
#From: help528,File Transfer Protocol. Easiest way to transfer files between computers on the Internet
help528,Protocolo de transferencia de archivos. El modo más fácil de transferir archivos entre ordenadores en Internet
#From: help529,Full-duplex
help529,Dúplex completo
#From: help530,Sending and Receiving data at the same time
help530,Envío y recepción simultánea de datos
#From: help531,Gain
help531,Ganancia
#From: help532,The amount an amplifier boosts the wireless signal
help532,La cantidad que un amplificador incrementa la señal inalámbrica
#From: help533,A device that connects your network to another, like the internet
help533,Un dispositivo que conecta su red a otra como Internet
#From: help534,Gbps
help534,Gbps
#From: help535,Gigabits per second
help535,Gigabits por segundo
#From: help536,Gigabit Ethernet
help536,Gigabit Ethernet
#From: help537,Transmission technology that provides a data rate of 1 billion bits per second
help537,Tecnología de transmisión que proporciona una velocidad de datos de 1 billón de bits por segundo
#From: help538,GUI
help538,GUI
#From: help539,Graphical user interface
help539,Interfaz gráfica de usuario
#From: help541,A standard that provides consistency of voice and video transmissions and compatibility for videoconferencing devices
help541,Un estándar que proporciona coherencia de transmisiones de audio y video y compatibilidad para los dispositivos de videoconferencias
#From: help542,Half-duplex
help542,Semi duplex
#From: help543,Data cannot be transmitted and received at the same time
help543,No se pueden transmitir y recibir datos al mismo tiempo
#From: help544,Hashing
help544,Hashing o resumen
#From: help545,Transforming a string of characters into a shorter string with a predefined length
help545,Trasformar una cadena de caracteres en una cadena más corta con una longitud predefinida
#From: help546,Hexadecimal
help546,Hexadecimal
#From: help547,Characters 0-9 and A-F
help547,Caracteres de 0-9 y de A-Z
#From: help548,Hop
help548,Salto
#From: help549,The action of data packets being transmitted from one router to another
help549,Acción efectuada por los paquetes de datos que se transmiten de un enrutador a otro
#From: help550,Host
help550,Host
#From: help551,Computer on a network
help551,Ordenador en una red
#From: help553,Hypertext Transfer Protocol is used to transfer files from HTTP servers (web servers) to HTTP clients (web browsers)
help553,Protocolo de transferencia de hipertexto utilizado para transferir archivos desde servidores HTTP (servidores web) a clientes HTTP (exploradores web)
#From: help555,HTTP over SSL is used to encrypt and decrypt HTTP transmissions
help555,El HTTP sobre SSL se utiliza para cifrar y descifrar transmisiones HTTP
#From: help556,Hub
help556,Hub o concentrador
#From: help557,A networking device that connects multiple devices together
help557,Un dispositivo de interconexión que conecta varios dispositivos
#From: help558,Internet Control Message Protocol
help558,Protocolo de mensaje de control de Internet
#From: help559,IEEE
help559,IEEE
#From: help560,Institute of Electrical and Electronics Engineers
help560,Instituto de ingenieros eléctricos y electrónicos
#From: help561,IGMP
help561,IGMP
#From: help562,Internet Group Management Protocol is used to make sure that computers can report their multicast group membership to adjacent routers
help562,El Protocolo de Administración de Grupos de Internet se utiliza para asegurarse de que los ordenadores pueden informar de su pertenencia a grupos multidifusión a los enrutadores adyacentes
#From: help563,IIS
help563,IIS
#From: help564,Internet Information Server is a WEB server and FTP server provided by Microsoft
help564,Internet Information Server es un servidor WEB y FTP suministrado por Microsoft
#From: help565,IKE
help565,IKE
#From: help566,Internet Key Exchange is used to ensure security for VPN connections
help566,El Intercambio de Claves de Internet se utiliza para garantizar la seguridad de las conexiones VPN
#From: help567,Infrastructure
help567,Infraestructura
#From: help568,In terms of a wireless network, this is when wireless clients use an Access Point to gain access to the network
help568,Cuando se habla de redes inalámbricas, es cuando los clientes inalámbricos utilizan un Punto de Acceso para acceder a la red
#From: help570,A system of worldwide networks which use TCP/IP to allow for resources to be accessed from computers around the world
help570,Un sistema de redes mundiales que utilizan el protocolo TCP/IP para permitir que los ordenadores de todo el mundo accedan a los recursos disponibles
#From: help571,Internet Explorer
help571,Internet Explorer
#From: help572,A World Wide Web browser created and provided by Microsoft
help572,Un explorador World Wide Web creado y suministrado por Microsoft
#From: help573,Internet Protocol
help573,Protocolo de Internet
#From: help574,The method of transferring data from one computer to another on the Internet
help574,El método de transferencia de datos de un ordenador a otro en Internet
#From: help575,Internet Protocol Security
help575,Protocolo de seguridad de Internet
#From: help576,IPsec provides security at the packet processing layer of network communication
help576,IPsec proporciona seguridad en la capa de procesamiento de paquetes de la comunicación en red
#From: help577,Internet Service Provider
help577,Proveedor de servicios de Internet
#From: help578,An ISP provides access to the Internet to individuals or companies
help578,Los ISP proporcionan acceso a Internet a individuos o compañías
#From: help579,Intranet
help579,Intranet
#From: help580,A private network
help580,Una red privada
#From: help581,Intrusion Detection
help581,Detección de intrusión
#From: help582,A type of security that scans a network to detect attacks coming from inside and outside of the network
help582,Un tipo de seguridad que examina una red para detectar ataques procedentes de dentro y fuera de la red
#From: help583,A 32-bit number, when talking about Internet Protocol Version 4, that identifies each computer that transmits data on the Internet or on an Intranet
help583,Un número de 32 bits, si hablamos sobre la versión 4 del Protocolo de Internet, que identifica cada ordenador que transmite datos en Internet o en una Intranet
#From: help584,IPsec
help584,IPsec
#From: help585,IPX
help585,IPX
#From: help586,Internetwork Packet Exchange is a networking protocol developed by Novel to enable their Netware clients and servers to communicate
help586,Intercambio de Paquetes entre redes es un protocolo de interconexión desarrollado por Novel para que sus clientes y servidores Netware se puedan comunicar
#From: help587,ISP
help587,ISP
#From: help588,Java
help588,Java
#From: help589,A programming language used to create programs and applets for web pages
help589,Lenguaje de programación utilizado para crear programas y aplicaciones para las páginas Web
#From: help590,Kbps
help590,Kbps
#From: help591,Kilobits per second
help591,kilobits por segundo
#From: help592,Kbyte
help592,Kbyte
#From: help593,Kilobyte
help593,Kilobyte
#From: help594,Local Area Network
help594,Red de área local
#From: help595,Latency
help595,Latencia
#From: help596,The amount of time that it takes a packet to get from the one point to another on a network. Also referred to as delay
help596,La cantidad de tiempo que necesita un paquete para pasar de un punto a otro en una red. También se conoce como demora
#From: help597,LED
help597,LED
#From: help598,Light Emitting Diode
help598,Diodo emisor de luz
#From: help599,Legacy
help599,Herencia
#From: help600,Older devices or technology
help600,Dispositivos o tecnología más antiguos
#From: help601,A group of computers in a building that usually access files from a server
help601,Un grupo de ordenadores de un edificio que normalmente acceden a archivos desde un servidor
#From: help602,LPR/LPD
help602,LPR/LPD
#From: help603,"Line Printer Requestor"/"Line Printer Daemon". A TCP/IP protocol for transmitting streams of printer data.
help603,"Solicitante de impresora en línea"/"Demonio de impresora en línea". Un protocolo TCP/IP para transmitir secuencias de datos de impresoras.
#From: help604,Layer 2 Tunneling Protocol
help604,Protocolo de túnel de capa 2
#From: help605,MAC address
help605,Dirección MAC
#From: help606,A unique hardware ID assigned to every Ethernet adapter by the manufacturer.
help606,Un ID de hardware único asignado por el fabricante a cada adaptador de Ethernet.
#From: help607,Mbps
help607,Mbps
#From: help608,Megabits per second
help608,Megabits por segundo
#From: help609,MDI
help609,MDI
#From: help610,Medium Dependent Interface is an Ethernet port for a connection to a straight-through cable
help610,Interfaz Dependiente del Medio es un puerto Ethernet para conectar a un cable recto
#From: help611,MDIX
help611,MDIX
#From: help612,Medium Dependent Interface Crossover, is an Ethernet port for a connection to a crossover cable
help612,Cruce de Interfaz Dependiente del Medio es un puerto Ethernet para conectar a un cable de enlace
#From: help613,MIB
help613,MIB
#From: help614,Management Information Base is a set of objects that can be managed by using SNMP
help614,Base de datos de Información de Administración es un conjunto de objetos que se pueden administrar mediante SNMP
#From: help615,Modem
help615,Módem
#From: help616,A device that Modulates digital signals from a computer to an analog signal in order to transmit the signal over phone lines. It also Demodulates the analog signals coming from the phone lines to digital signals for your computer
help616,Dispositivo que modula señales digitales provenientes de un ordenador convirtiéndolas en señales analógicas para transmitirlas a través de las líneas telefónicas. También desmodula las señales analógicas que provienen de las líneas telefónicas convirtiéndolas en señales digitales utilizables por los ordenadores
#From: help617,MPPE
help617,MPPE
#From: help618,Microsoft Point-to-Point Encryption is used to secure data transmissions over PPTP connections
help618,El Cifrado de Punto a punto de Microsoft se utiliza para asegurar las transmisiones de datos a través de las conexiones PPTP
#From: help619,Maximum Transmission Unit is the largest packet that can be transmitted on a packet-based network like the Internet
help619,Unidad de Transmisión Máxima es el paquete de mayor tamaño que se puede transmitir a través de una red basada en paquetes como Internet
#From: help620,Multicast
help620,Multidifusión
#From: help621,Sending data from one device to many devices on a network
help621,Envío de datos de un dispositivo a varios dispositivos en una red
#From: help622,Network Address Translation allows many private IP addresses to connect to the Internet, or another network, through one IP address
help622,Traducción de Dirección de Red permite que muchas direcciones IP privadas se conecten a Internet, u a otra red, mediante una única dirección IP
#From: help623,NetBEUI
help623,NetBEUI
#From: help624,NetBIOS Extended User Interface is a Local Area Network communication protocol. This is an updated version of NetBIOS
help624,Interfaz de Usuario Extendida para NetBIOS es un protocolo de comunicaciones de red de área local. Es una versión actualizada de NetBIOS
#From: help625,NetBIOS
help625,NetBIOS
#From: help626,Network Basic Input/Output System
help626,Sistema de Entrada y Salida Básico de Red
#From: help627,Determines what portion of an IP address designates the Network and which part designates the Host
help627,Determina qué parte de una dirección IP designa la Red y qué parte identifica al host
#From: help628,Network Interface Card
help628,Tarjeta de Interfaz de Red
#From: help629,A card installed in a computer or built onto the motherboard that allows the computer to connect to a network
help629,Una tarjeta instalada en un ordenador o incorporada en la placa madre que permite al ordenador conectarse a la red
#From: help630,Network Layer
help630,Capa de red
#From: help631,The third layer of the OSI model which handles the routing of traffic on a network
help631,La tercera capa del modelo OSI que controla el enrutamiento de tráfico de una red
#From: help632,Network Time Protocol
help632,Protocolo de Tiempo de Red
#From: help633,Used to synchronize the time of all the computers in a network
help633,Utilizado para sincronizar la hora de todos los ordenadores  conectados a una red
#From: help634,NIC
help634,NIC
#From: help635,NTP
help635,NTP
#From: help636,OFDM
help636,OFDM
#From: help637,Orthogonal Frequency-Division Multiplexing is the modulation technique for both 802.11a and 802.11g
help637,Múltiplexación por División Ortogonal de Frecuencias es la técnica de modulación de 802.11a y 802.11g
#From: help638,OSI
help638,OSI
#From: help639,Open Systems Interconnection is the reference model for how data should travel between two devices on a network
help639,Interconexión de Sistemas Abiertos es el modelo de referencia sobre cómo deberían viajar los datos entre dos dispositivos de una red
#From: help640,OSPF
help640,OSPF
#From: help641,Open Shortest Path First is a routing protocol that is used more than RIP in larger scale networks because only changes to the routing table are sent to all the other routers in the network as opposed to sending the entire routing table at a regular interval, which is how RIP functions
help641,Abrir Primero la Ruta más Corta es el protocolo de enrutamiento que se utiliza más que RIP en redes de mayor escala porque solamente los cambios ocurridos en la tabla de enrutamiento se envían a los demás enrutadores de la red en lugar de enviar la tabla de enrutamiento completa en intervalos regulares, que es el modo en el que RIP funciona
#From: help642, A sequence of characters that is used to authenticate requests to resources on a network
