
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From: sw.title.list,Number Of Wireless Clients
sw.title.list,Numero di client wireless
#From: hhsw.intro,This is a list of all wireless clients that are currently connected to your wireless router.
hhsw.intro, Questa è la lista di tutti i client wirelss che sono attualmente collegati al vostro router senza-fili.
#From: ta.alert.1,Invalid value for Admin Idle Timeout, should be in range (1..65535)
ta.alert.1,Valore non valido per timeout inattivit? amministratore. Deve trovarsi nell\'intervallo 1-65535
#From: .pwsame_admin,Please make the two admin passwords the same and try again
.pwsame_admin,Far corrispondere le due password amministratore e riprovare
#From: .pwsame_user,Please make the two user passwords the same and try again
.pwsame_user,Far corrispondere le due password utente e riprovare
#From: ta.alert.3,"Invalid remote management port '"+data.wan_web_port+"', should be in range (1..65535)"
ta.alert.3,"Porta di gestione remota '"+data.wan_web_port+"' non valida. La porta deve essere inclusa nell'intervallo 1-65535"
#From: .syslog,SysLog
.syslog, SysLog
#From: .email,EMail Settings
.email, Impostazioni Email
#From: ta.AdmSt,Administrator Settings
ta.AdmSt,Impostazioni di amministratore
#From: ta.intro1,The 'admin' and 'user' accounts can access the management interface. The admin has read/write access and can change passwords, while the user has read-only access.
ta.intro1, Gli utenti  'admin' e 'user'  possono accedere all'interfaccia di amministrazione. L??utente?'admin' che avr? privilegi di amministrazione potr? leggere e modificare le impostazioni e cambiare le password mentre l'utente ??user ??avr? solo diritti di lettura.
#From: ta.intro.Adm2,By default there is no password configured. It is highly recommended that you create a password to keep your router secure.
ta.intro.Adm2, Nelle impostaioni di fabbrica non è configurata alcuna password di accesso. E vivamente suggerito di creare una password per rendere più sicuro il vostro router.
#From: ta.msg.TW,Please enter the same password into both boxes, for confirmation.
ta.msg.TW, Digitare la stessa password in entrambe le campi  per conferma.
#From: ta.sn,System Name
ta.sn, Nome del sistema
#From: ta.A12n,Administration
ta.A12n,Amministrazione
#From: hhta.pw,For security reasons, it is recommended that you change the password for the Admin and User accounts. Be sure to write down the new and passwords to avoid having to reset the router in case they are forgotten.
hhta.pw, Per i motivi di sicurezza vi suggeriamo di cambiare le password per gli account di amministrazione e utente. Ricordatevi di annotare le password per evitare di dover  riporate alle impostazione di fabbricca il router nel caso ve le foste dimenticate.
#From: hhta.en,Enabling Remote Management, allows you or others to change the router configuration from a computer on the Internet.
hhta.en, Abilitando l??amministrazione da remoto permetterete di cambiare la configurazione del router  da un personal computer sul Internet.
#From: hhta.pt,Choose a port to open for remote management.
hhta.pt, Scelga una porta da aprire per il remote management.
#From: .connow,Windows Connect Now
.connow, Windows Collega Adesso
#From: td.alert.2,The timeout value can not be zero.
td.alert.2,Il valore di timeout non può essere zero.
#From: td.alert.3,The timeout value can not be greater than 8760.
td.alert.3,Il valore di timeout non può essere superiore a 8760.
#From: td.DDNSDDNS,Dynamic DNS (DDNS)
td.DDNSDDNS, Dynamic DNS (DDNS)
#From: td.intro.DDNS,The DDNS feature allows you to host a server (Web, FTP, Game Server, etc...) using a domain name that you have purchased (www.whateveryournameis.com) with your dynamically assigned IP address. Most broadband Internet Service Providers assign dynamic (changing) IP addresses. Using a DDNS service provider, your friends can enter your host name to connect to your game server no matter what your IP address is.
td.intro.DDNS, La funzionalit? DynamicDNS permette di rendere raggiungibile un server (Web, FTP, Game Server, ecc.) usando un Domain Name che avete comprato (www.whateveryournameis.com) con il vostro indirizzo indirizzo IP assegnato dinamicamente. La maggior parte dei Internet Service Provider (ISP) assegnano indirizzi IP dinamici (che vengonno cambiati spesso). Usando un servizio DynamicDNS, i vostri amici potranno raggiungere il vostro server digitando il vostro nome di dominio qualunque sia il vostro indirizzo IP.
#From: td.,(hours)
td., (ore)
#From: .emailaccnameisblank,Account Name must be valid
.emailaccnameisblank,Il nome dell??account deve essere valido
#From: .blankfromemailaddr,From email address should not be blank
.blankfromemailaddr, Il campo ??Da??quale indirizzo mail non dovrebbe essere lasciato vuoto
#From: .blanktomemailaddr,To email address should not be blank
.blanktomemailaddr, Il campo ??A??( to ) quale indirizzo mail non dovrebbe essere lasciato vuoto
#From: .blanksmtpmailaddr,SMTP Server address should not be blank
.blanksmtpmailaddr, L??indirizzo  del server SMTP non dovrebbe essere lasciato vuoto
#From: .badfromemailaddr,The Email address "' + from_addr + '" is not valid.
.badfromemailaddr, I??indirizzo email "' + from_addr + '"  non è valido.
#From: .badtoemailaddr,The Email address "' + to_addr + '" is not valid.
.badtoemailaddr, L??indirizzo email "' + to_addr + '" non è valido.
#From: .invalidsmtpserveraddr, The SMTP Server Address"' + data.smtp_email_server_addr + '" is not valid.
.invalidsmtpserveraddr, L??indirizzo del server SMTP "' + data.smtp_email_server_addr + '" non è  valido.
#From: .badsmtpserveraddr, SMTP Server Address is not allowed
.badsmtpserveraddr, L\'indirizzo del server SMTP non è consentito
#From: te..title.EmLog,Email log when FULL or on Schedule
te..title.EmLog, Invia via Email il log del router quando questo è pieno o qunando schedulato
#From: hhte.intro,You may want to make the email settings similar to those of your email client program.
hhte.intro, Potreste desiderare di impostare la vostra mail nello stesso modo che avete utilizzato nel vostro programma di gestione delle email.
#From: tf.NFWA,Newer firmware version is available.
tf.NFWA,? disponibile una versione più recente del firmware.
#From: tf.FWF1,You must enter the name of a firmware file first.
tf.FWF1,Immettere dapprima il nome di un file di firmware.
#From: tf.really?.FWF,Do you really want to reprogram the device using the firmware file
tf.really?.FWF,Riprogrammare la periferica utilizzando il file di firmware
#From: .error,Error
.error,Errore
#From: tf.alert.1,The web session has timed out. Please re-login to access this page.
tf.alert.1,La sessione Web è scaduta. Accedere di nuovo per visualizzare questa pagina.
#From: tf.LFWVis,Based on the result of checking online, the latest firmware version is:
tf.LFWVis,Il controllo online ha rilevato che la versione più recente del firmware è:
#From: tf.FailFWC,Failed to check online. Server is unavailable or you might not be connected to the Internet.
tf.FailFWC,Impossibile eseguire il controllo online. Il server non è disponibile oppure non si è connessi a Internet.
#From: tf.FWCinP,Firmware update check is in progress.
tf.FWCinP,? in corso il controllo per un aggiornamento del firmware.
#From: tf.Ching.FW,Checking availability of new firmware
tf.Ching.FW,Controllo della disponibilit? di nuovo firmware
#From: tf.CFWV,Current Firmware Version
tf.CFWV,Versione firmware corrente
#From: tf.LFWV,Latest Firmware Version
tf.LFWV,Versione firmware più recente
#From: tf.CFWD,Current Firmware Date
tf.CFWD,Data firmware corrente
#From: tf.FWChNow,Check Online Now for Latest Firmware Version
tf.FWChNow,Controlla online la versione del firmware più recente
#From: tf.msg.wired,To upgrade the firmware, your PC must have a wired connection to the router. Enter the name of the firmware upgrade file, and click on the Upload button.
tf.msg.wired, Per aggiornare i firmware, il vostro PC deve essere connesso al router via cavo. Scrivete il nome del file del nuovo firmware e cliccate sul bottone Upload.
#From: tps.sfp,Searching for Printers...
tps.sfp, Cercando una stampante...
#From: tps.dci,Double-click on an icon to install printer
tps.dci, Fate un doppio click sull??icona per installare la stampante
#From: tps.intro2,Print Server Setup
tps.intro2, Setup del Print Server
#From: tps.intro3,Your D-Link Router includes an integrated print server that allows a printer to be shared between multiple computers on your network. From this page you can select which printing protocols to enable.
tps.intro3, Il vostro D-Link Router include un print server che permette di condividere una stampante fra i PC della vostra rete.  Da questa pagina potete selezionare quale protocollo di stampa in rete utilizzare.
#From: tps.raw1,The raw TCP port printing protocol uses a fixed IP address and TCP port to communicate with your printer.
tps.raw1, Il protocollo TCP di stampa Raw usa un IP indirizzo fisso ed una porta TCP per comunicare con la vostra stampante.
#From: tps.enraw,Enable Raw Port Printing
tps.enraw, Abilita il protocollo di stampa Raw
#From: tps.lpd1,The LPD/LPR printing protocol uses a fixed IP address and queue name to communicate with your printer.
tps.lpd1, Il protocollo mdi stampa LPD/LPR usa un IP fisso per comunicare con la vostra stampante.
#From: tps.enlpd,Enable LPD/LPR Printing
tps.enlpd, Abilita il protocollo di stampa LPD/LPR
#From: tps.apc,Advanced Printer Configuration
tps.apc,Configurazione avanzata stampante
#From: tps.apc1,These settings are automatically configured and should be modified only by advanced users.
tps.apc1,Queste impostazioni vengono configurate automaticamente e devono essere modificate solo dagli utenti avanzati.
#From: tps.drname,Driver Name
tps.drname, Nome del driver
#From: tps.dsr,Disable Soft Reset
tps.dsr, Disabilita il soft-reset
#From: tsc.alert.1,"No day is selected for schedule name '"+(data.sched_table[i].sched_name)+"'"
tsc.alert.1,"Nessun giorno è stato selezionato per il nome della pianificazione '"+(data.sched_table[i].sched_name)+"'"
#From: tsc.alert.2,Invalid Time
tsc.alert.2,Ora non valida
#From: tsc.alert.3,"The schedule name '"+(data.sched_table[i].sched_name)+"' is reserved and can not be used"
tsc.alert.3,"Il nome della pianificazione '"+(data.sched_table[i].sched_name)+"' è riservato e non può essere utilizzato"
#From: tsc.alert.6,"This schedule is already used"
tsc.alert.6, "Questo temporizzazione è gi? stata utilizzata "
#From: .Sun,Sun
.Sun,Dom
#From: .Mon,Mon
.Mon,Lun
#From: .Tue,Tue
.Tue,Mar
#From: .Wed,Wed
.Wed,Mer
#From: .Thu,Thu
.Thu,Gio
#From: .Fri,Fri
.Fri,Ven
#From: .Sat,Sat
.Sat,Sab
#From: tsc.EvDay,Every Day
tsc.EvDay,Ogni giorno
#From: tsc.AllDay,All Day
tsc.AllDay,Tutto il giorno
#From: .AM,AM
.AM,AM
#From: .PM,PM
.PM,PM
#From: tsc.alert.9,"There is no room for any more entries"
tsc.alert.9, "Non ci sono più possbilit? per inserire altre voci "
#From: tsc.intro.Sch,The Schedule configuration option is used to manage schedule rules for various firewall and parental control features.
tsc.intro.Sch,L'opzione di configurazione della pianificazione viene utilizzata per gestire le regole di pianificazione per le diverse funzioni di firewall e per il Controllo Parentale
#From: tsc.SchRu,Schedule Rule
tsc.SchRu,Regola di Pianificazione
#From: tsc.AllWk,All Week
tsc.AllWk,Tutta la settimana
#From: tsc.SelDays,Select Day(s)
tsc.SelDays,Seleziona giorni
#From: tsc.hrmin,(hour:minute, 12 hour time)
tsc.hrmin,(ore:minuti, formato 12 ore)
#From: tsc.TimeFr,Time Frame
tsc.TimeFr,Intervallo di tempo
#From: hhts.intro,Schedules are used with a number of other features to define when those features are in effect.
hhts.intro, La temporizzazione ( scheduling) viene utilizzata assieme ad altre funzionalit? per definire quando queste caratteristiche saranno attive.
#From: hhts.name,Give each schedule a name that is meaningful to you. For example, a schedule for Monday through Friday from 3:00pm to 9:00pm, might be called "After School".
hhts.name, Date a ciascuna voce un nome che possa ricordarvi cosa questa rappresenta . Per esempio, un temporizzazione attiva dal lunedì al venerdì dalle 15?:00 alle 21 potrebbe essere chiamata "Dopo la scuola".
#From: hhts.save,Click <strong>Save</strong> to add a completed schedule to the list below.
hhts.save, Premete <strong>Salva</strong> per aggiungere una voce alla lista sottostante.
#From: hhts.edit,Click the <strong>Edit</strong> icon to change an existing schedule.
hhts.edit, Premete  l??icona <strong>modifica</strong> per modificare una voce precedentemente salvata.
#From: hhts.del,Click the <strong>Delete</strong> icon to permanently delete a schedule.
hhts.del, Premere l??icona <strong>Cancella</strong> per cancellare un voce.
#From: .sentinel.serv,Sentinel Services
.sentinel.serv, Servizio Sentinel
#From: .bsecure.parental.serv,Sentinel Parental Controls Service
.bsecure.parental.serv, Servizio di controllo dei contenuti ( Parental control )
#From: .bsecure.free.trial,FREE 30 Day Trial
.bsecure.free.trial,Prova GRATUITA di 30 giorni
#From: .bsecure.parental.blurb,The Parental Controls service is a simple yet effective way to limit access to offensive, illegal or hateful web sites. This service covers all PC's or Apple Computers behind your router and is always automatically updated in real time. (No need for you to download or manually input sites.) This service is fast and will not slow down your network.
.bsecure.parental.blurb,Il servizio Controllo Parentale è un modo semplice ma efficace di limitare l'accesso a siti Web illegali, denigratori o offensivi. Questo servizio copre tutti i computer Apple o PC a valle del router e viene aggiornato automaticamente in tempo reale. (Non sono necessari download oppure inserire manualmente i siti). Questo servizio è veloce e non rallenta la rete.
#From: .bsecure.more.info,More info...
.bsecure.more.info,Ulteriori informazioni...
#From: .bsecure.activate.trial,Activate Your FREE 30 Day Trial Here
.bsecure.activate.trial,Attiva qui la prova GRATUITA di 30 giorni
#From: .bsecure.security.serv,Sentinel Security Services
.bsecure.security.serv, Servizio di sicurezza Sentinel
#From: .bsecure.security.blurb,Security Services are a great way to protect all your PC's with a unified suite of services that are managed from any web browser. Includes Anti-Virus, Firewall, Intrusion Detection, Content Filtering, Spam Killer and Pop-up blocker. Any or all services can be selected at one low price.
.bsecure.security.blurb,I Security Services costituiscono lo strumento ideale per proteggere i vostri PC con un'unica suite di servizi gestiti da un browser Web qualsiasi. Include antivirus, firewall, rilevamento intrusioni, filtri basati sul contenuto, funzione anti-spam e blocco delle finestre pop-up. ? possibile scegliere uno solo o anche tutti i servizi allo stesso prezzo molto conveniente.
#From: hhtsn.intro,Clicking any of these links or buttons will take you to another web site for further information.
hhtsn.intro, Cliccando su uno di questi collegamenti o bottoni si verr? collegati ad un altro siti web per ottenere ulteriori informazioni.
#From: tsl.alert.3,"Syslog server IP address should not be same as Gateway IP address"
tsl.alert.3, "L??indirizzo IP del Syslog server non dovrebbe essere stesso del Gateway "
#From: tsl.alert.1,"Syslog server IP address is in WAN subnet, it should be within LAN subnet ("+lan_subnet+")"
tsl.alert.1, "L??indirizzo IP del Syslog server è nella subnet della WAN mentre dovrebbe essere all'interno subnet della LAN interna ("+lan_subnet+")"
#From: tsl.alert.2,"Syslog server IP address should be within LAN subnet ("+lan_subnet+")"
tsl.alert.2, "L??indirizzo IP del Syslog server dovrebbe essere all'interno subnet della LAN interna ("+lan_subnet+")"
#From: tsl.intro,The SysLog options allow you to send log information to a SysLog Server.
tsl.intro, Le opzioni del SysLog ci permettono di inviare le informazioni di log si sistema ad un Server SysLog.
#From: tsl.SLSt,SysLog Settings
tsl.SLSt, Impostazione del SysLog
#From: tsl.EnLog,Enable Logging To Syslog Server
tsl.EnLog, Abilita l??invio del log del router ad un server Syslog
#From: hhts.def,A System Logger (syslog) is a server that collects in one place the logs from different sources. If the LAN includes a syslog server, you can use this option to send the router's logs to that server.
hhts.def, Un System Logger (syslog) è un server che raccoglie in un unico luogo tutti i log che arrivano da fonti differenti. Se all??interno della lan è presente un server di questo tipo potete usare questa opzione per inviare il log del router a quel server.
#From: ta.alert.4,A restore is already in progress.
ta.alert.4,Un ripristino è gi? in corso.
#From: ta.alert.5,You must enter the name of a configuration file first.
ta.alert.5,Immettere dapprima il nome di un file di configurazione.
#From: ta.alert.6,Please wait, uploading configuration file
ta.alert.6,Attendere, caricamento in corso del file di configurazione
#From: tss.SysSt,System Settings
tss.SysSt,Impostazioni di sistema
#From: tss.intro,The System Settings section allows you to reboot the device, or restore the router to the factory default settings. Restoring the unit to the factory default settings will erase all settings, including any rules that you have created.
tss.intro, La sezione delle ??impostazioni di sistema permette di riavviare il dispositivo, o riportarlo alle impostazioni di fabbrica. Riportando il router alle impostazioni di fabbrica ( default ) cerranno cancellate tutte le imnpostazioni di configuraione, compreso qualunque regola abbiate creato.
#From: tss.intro2,The current system settings can be saved as a file onto the local hard drive. The saved file or any other saved setting file created by device can be uploaded into the unit.
tss.intro2, Le correnti impostazioni del sistema possono essere salvate in un file sull??hard disk. Le impstazioni del router salvate in quel file o in un qualsiasi altro potranno essere ricaricate all??interno dell'unit?.
#From: ta.SavConf,Save Configuration
ta.SavConf, Salvare la Configurazione
#From: ta.ResConf,Restore Configuration from File
ta.ResConf, Caricare le impostazioni di configurazione da un file
#From: .reboot,Reboot the Device
.reboot, Riavviare il dispositivo
#From: tsc.pingt.msg1,Enter a host name or IP address above and click 'Ping'
tsc.pingt.msg1, Inserire sopra un host name o un indirizzo IP e cliccare 'Ping'
#From: tsc.pingt.msg100,Pings sent:
tsc.pingt.msg100, Ping inviati:
#From: tsc.pingt.msg101,Pings received:
tsc.pingt.msg101, Ping ricevuti
#From: tsc.pingt.msg102,Pings lost:
tsc.pingt.msg102, Ping persi
#From: tsc.pingt.msg103,% loss
tsc.pingt.msg103, % persi
#From: tsc.pingt.msg104,Shortest ping time (in milliseconds):
tsc.pingt.msg104, Tempo più corto di risposta al ping (in millisecondi):
#From: tsc.pingt.msg105,Longest ping time (in milliseconds):
tsc.pingt.msg105, Tempo massimo di risposta al ping (in millisecondi):
#From: tsc.pingt.msg106,Average ping time (in milliseconds):
tsc.pingt.msg106, Tempo medio di risposta al ping (in millisecondi):
#From: tsc.pingt.msg7,Response from
tsc.pingt.msg7, Risposta da
#From: tsc.pingt.msg8,received in
tsc.pingt.msg8, ricevuto in
#From: tsc.pingt.msg9,milliseconds. TTL =
tsc.pingt.msg9, millisecondi. TTL =
#From: tsc.pingt.msg11,No response from host, retrying...
tsc.pingt.msg11, Nessuna risposta dall??host, nuovo tentativo ...
#From: tsc.pingt.msg6,No response to ping from router, will retry.
tsc.pingt.msg6, Nessuna risposta al ping dal router, verr? provato nuovamente .
#From: tsc.pingt.msg4,Unable to resolve, check that the name is correct.
tsc.pingt.msg4, Impossibile risolvere il nome host, controllare che l??host name sia corretto.
#From: tsc.pingt.msg5,Resolved to
tsc.pingt.msg5, Risolto a
#From: tsc.pingt.msg2,You must enter a host name or IP address.
tsc.pingt.msg2, Dovete inserire un host name o un indirizzo IP.
#From: tsc.pingt.msg3,Please wait, resolving
tsc.pingt.msg3, Risoluzione del nome in corso, prego attendere
#From: tsc.pingt_mesg,Ping Test sends "ping" packets to test a computer on the Internet.
tsc.pingt_mesg, Il ping test trasmette pacchetti di "ping" verso un PC su internet per controllarlo.
#From: hhtsc.pingt.intro,"Ping" checks whether a computer on the Internet is running and responding.
hhtsc.pingt.intro, Il "Ping" controlla se un comuter sul Internet sta funzionando e rispondendo.
#From: tt.alert.nontp,NTP Server is not configured
tt.alert.nontp,Il server NTP non è configurato
#From: tt.alert.invlddt,Invalid Date or Time
tt.alert.invlddt,Data o ora non valida
#From: tt.alert.dstchkmonth,DST end month must be different than DST start month
tt.alert.dstchkmonth, Il DST di fine mese deve essere diverso dal DST di  inizio mese
#From: tt.alert.tupdt,Gateway Time has been updated
tt.alert.tupdt, L??ora di sistema è stata aggiornata
#From: tt.alert.1only,Please select one of Automatic or Manual Time setting. Not both
tt.alert.1only,Selezionare l'impostazione dell'ora automatica o manuale, non entrambe.
#From: tt.intro.Time,The Time Configuration option allows you to configure, update, and maintain the correct time on the internal system clock. From this section you can set the time zone that you are in and set the NTP (Network Time Protocol) Server. Daylight Saving can also be configured to automatically adjust the time when needed.
tt.intro.Time, Le opzioni di configurazione dell??ora permettono di configurare, aggiornare e mantenere l??ora corretta sull'orologio interno del sistema. Le opzioni di configurazione dell??ora permettono di configurare, aggiornare e mantenere l??ora corretta sull'orologio interno del sistema. Le opzioni di risparmio energetico possono  essere configurate per regolare automaticamente l??ora del sistema quando necessario.
#From: tt.dsdates,Daylight Saving Dates
tt.dsdates, Impostazioni di risparmio energetico giornaliero
#From: tt.dststart,DST Start
tt.dststart, Inizio DST
#From: tt.Jan,Jan
tt.Jan,Gen
#From: tt.Feb,Feb
tt.Feb,Feb
#From: tt.Mar,Mar
tt.Mar,Mar
#From: tt.Apr,Apr
tt.Apr,Apr
#From: tt.May,May
tt.May,Mag
#From: tt.Jun,Jun
tt.Jun,Giu
#From: tt.Jul,Jul
tt.Jul,Lug
#From: tt.Aug,Aug
tt.Aug,Ago
#From: tt.Sep,Sep
tt.Sep,Set
#From: tt.Oct,Oct
tt.Oct,Ott
#From: tt.Nov,Nov
tt.Nov,Nov
#From: tt.Dec,Dec
tt.Dec,Dic
#From: tt.week.1,1st
tt.week.1,Prima
#From: tt.week.2,2nd
tt.week.2,Seconda
#From: tt.week.3,3rd
tt.week.3,Terza
#From: tt.week.4,4th
tt.week.4,Quarta
#From: tt.week.5,5th
tt.week.5,Quinta
#From: tt.time.1,12 am
tt.time.1, 0
#From: tt.time.2,1 am
tt.time.2, 1
#From: tt.time.3,2 am
tt.time.3, 2
#From: tt.time.4,3 am
tt.time.4, 3
#From: tt.time.5,4 am
tt.time.5, 4
#From: tt.time.6,5 am
tt.time.6, 5
#From: tt.time.7,6 am
tt.time.7, 6
#From: tt.time.8,7 am
tt.time.8, 7
#From: tt.time.9,8 am
tt.time.9, 8
#From: tt.time.10,9 am
tt.time.10, 9
#From: tt.time.11,10 am
tt.time.11, 10
#From: tt.time.12,11 am
tt.time.12, 11
#From: tt.time.13,12 pm
tt.time.13, 12
#From: tt.time.14,1 pm
tt.time.14, 13
#From: tt.time.15,2 pm
tt.time.15, 14
#From: tt.time.16,3 pm
tt.time.16, 15
#From: tt.time.17,4 pm
tt.time.17, 16
#From: tt.time.18,5 pm
tt.time.18, 17
#From: tt.time.19,6 pm
tt.time.19, 18
#From: tt.time.20,7 pm
tt.time.20, 19
#From: tt.time.21,8 pm
tt.time.21, 20
#From: tt.time.22,9 pm
tt.time.22, 21
#From: tt.time.23,10 pm
tt.time.23, 22
#From: tt.time.24,11 pm
tt.time.24, 23
#From: tt.dstend,DST End
tt.dstend, Fine DST
#From: tt.SelNTPSrv,Select NTP Server
tt.SelNTPSrv, Seleziona un server NTP
#From: tt.DaT,Date And Time
tt.DaT, Data e ora
#From: tt.Year,Year
tt.Year,Anno
#From: tt.Month,Month
tt.Month,Mese
#From: tt.Day,Day
tt.Day,Giorno
#From: tt.Hour,Hour
tt.Hour,Ora
#From: tt.Minute,Minute
tt.Minute,Minuti
#From: tt.Second,Second
tt.Second,Secondi
#From: tt.CopyTime,Copy Your Computer's Time Settings
tt.CopyTime, Copia le impostaizioni della data e ora dal vostro Computer
#From: hhtt.intro,Good timekeeping is important for accurate logs and scheduled firewall rules.
hhtt.intro, La corretta impostazione dell??ora è importante per avere dei log corretti e le regole del firewall temporizzate .
#From: .success,Success
.success, Successo
#From: ap.intro.sv,The new settings have been applied.
ap.intro.sv,Sono state applicate le nuove impostazioni.
#From: sc.intro.sv,The new settings have been saved.
sc.intro.sv, Le nuove impostazioni sono state salvate.
#From: sc.intro.rb3,The router must be rebooted before settings saved on a previous page will take effect. You can reboot the router now using the 'Reboot' button below, or press the 'Continue' button and make other changes.
sc.intro.rb3,Riavviare il router per rendere effettive le impostazioni salvate in una pagina precedente. Per riavviare il router, utilizzare il pulsante 'Riavvia' in basso oppure fare clic sul pulsante 'Continua' e apportare altre modifiche.
#From: .continue,Continue
.continue,Continua
#From: fb.FbAc,Forbidden Access
fb.FbAc, Accesso negato
#From: sentinel.1,Sentinel Blocked Web Access
sentinel.1,Sentinel ha bloccato l'accesso al Web
#From: sentinel.2,Access to this Web site has been blocked on this computer by your router's Sentinel Service.
sentinel.2, L??accesso a questo sito Web è stato chiuso su questo computer dal servizio  Sentinel del vostro router.
#From: sentinal.3,Contact your Sentinel Service Administrator to enable access to this page.
sentinal.3,Per poter accedere a questa pagina, rivolgersi all'amministratore del servizio Sentinel.
#From: fl.Failure,Failure
fl.Failure, Guasto
#From: fl.text,The new settings have NOT been saved because an error occurred.
fl.text, Le nuove impostazioni  NON sono state salvate perché è stato rilevato un errore.
#From: fb.FbWbAc,Forbidden Web Access
fb.FbWbAc,Accesso Web negato
#From: fb.p.1,Access to this Web site is not allowed from this computer.
fb.p.1,Non è consentito accedere al sito Web da questo computer.
#From: fb.p.2,This page is not included in the router's Allowed Web Site List.
fb.p.2,Questa pagina non è inclusa nell'elenco dei siti Web consentiti per il router.
#From: li.Login,Login
li.Login, Login
#From: li.alert.1,Session timeout, please try again.
li.alert.1,Timeout sessione. Riprovare.
#From: li.alert.3,Invalid password, please try again.
li.alert.3,Password non valida. Riprovare.
#From: li.alert.2,The network connection seems to be down. Press 'Ok' to try again.
li.alert.2,La connessione alla rete non è attiva. Premere OK e riprovare.
#From: li.WJS,WARNING: JavaScript is not enabled for this browser!
li.WJS,ATTENZIONE: JavaScript non è abilitato per il browser.
#From: li.intro,Log in to the router
li.intro,Accesso al router
#From: .username,User Name
.username,Nome utente
#From: .user,User
.user,Utente
#From: li.Log_In,Log In
li.Log_In,Accedi
#From: rd.p.1,You will now be redirected to the login page.
rd.p.1,Avverr? il reindirizzamento alla pagina di accesso.
#From: rd.p.2,If the login page does not appear, click <a href="/login.html">this link</a>.
rd.p.2,Se la pagina di accesso non viene visualizzata, fare clic su <a href="/login.html">questo collegamento</a>.
#From: rs.Restoring_Settings,Restoring Settings
rs.Restoring_Settings, Ricarica la configurazione del router
#From: reh,The settings file is invalid.
reh, Il file con la configurazione del router non è valido.
#From: rs.RSPW,Restoring Settings, Please Wait
rs.RSPW,Ripristino delle impostazioni in corso. Attendere
#From: rs.cld,Converted local data
rs.cld,Dati locali convertiti
#From: rs.Done,Done
rs.Done,Eseguito
#From: rs.uld,Unpacked local data
rs.uld,Dati locali decompressi
#From: rs.usd,Unpacked saved data
rs.usd,Dati salvati decompressi
#From: rs.csd,Converted saved data
rs.csd,Dati salvati convertiti
#From: rs.Repacked,Repacked
rs.Repacked,Ricompresse
#From: rs.Converted,Converted
rs.Converted,Convertite
#From: rs.Saving,Saving
rs.Saving,Salvataggio in corso
#From: sc.intro.rb,The router must be rebooted before the new settings will take effect. You can reboot the router now using the button below, or make other changes and then use the reboot button on the Tools/System page.
sc.intro.rb, Il router deve essere riavviato per attivare le nuove impostazioni. Potete riavviare ora il router premendo il tasto qui sotto, o fare altri cambiamenti ed allora utilizzare il tasto di riavvio nella pagina Tools/Sistema.
#From: ub.Upload_Failed,Upload Failed
ub.Upload_Failed,Caricamento non riuscito
#From: ub.intro.2,The Gateway will not be reprogrammed.
ub.intro.2,Il gateway non verr? riprogrammato.
#From: ub.continue,continue
ub.continue,continua
#From: .uploadgood,Upload Succeeded
.uploadgood,File caricato
#From: .upgintro,The router will now be reprogrammed using the uploaded firmware file. Please wait <span id="timeleft"></span>&nbsp;seconds for this process to complete, after which you may access these web pages again. Pressing reload or back on your browser may cause this operation to fail.
.upgintro,Ora il router sar? riprogrammato utilizzando il file firmware caricato. Attendere <span id="timeleft"></span>&nbsp;secondi per il completamento di questo processo; in seguito sar? possibile accedere nuovamente a queste pagine Web. Premendo il pulsante Aggiorna o Indietro sul browser, l'operazione potrebbe non essere portata a termine correttamente.
#From: .relogin,Re-login
.relogin,Nuovo login
#From: wt.p.1,The gateway is currently measuring your network connection.
wt.p.1,La connessione alla rete è attualmente misurata dal gateway.
#From: wt.p.2,Accessing this web page might have an effect on the measurement.
wt.p.2,L??accesso a questa pagina Web influisce sulla misurazione.
#From: wt.p.3,This page will refresh shortly.
wt.p.3,La pagina sar? aggiornata a breve.
#From: bwz.psw,Printer Setup Wizard
bwz.psw, Wizard per l??impostazioni della stampante
#From: .unavailable,unavailable
.unavailable,non disponibile
#From: wprn.intro1,Welcome to the D-Link Printer Setup Wizard
wprn.intro1, Benvenuto nel D-Link wizard di configurazione della stampante
#From: wprn.intro3,Step 1: Detect the printer
wprn.intro3,Passaggio 1: Rilevamento della stampante
#From: wprn.intro4,Step 2: Launch the setup executable on your computer
wprn.intro4,Passaggio 2: Avvio del file eseguibile del programma di installazione sul computer
#From: wprn.intro5,Step 3: Insert the printer driver CD if requested
wprn.intro5,Passaggio 3: Inserimento del CD dei driver della stampante se richiesto
#From: wprn.intro6,Step 4: Print a test page
wprn.intro6,Passaggio 4: Stampa di una pagina di prova
#From: wprn.bados,Unsupported Operating System
wprn.bados,Sistema operativo non supportato
#From: wprn.tt,Troubleshooting Tips
wprn.tt,Suggerimenti per la risoluzione dei problemi
#From: wprn.tt1,Refer to the documentation that came with your router for printer setup instructions specific to your operating system.
wprn.tt1,Leggere la documentazione fornita con il router per informazioni specifiche su come installare la stampante per il proprio sistema operativo.
#From: wprn.rppd,A Required Printing Protocol Is Disabled
wprn.rppd,Un protocollo di stampa richiesto è disabilitato
